 ,X,Y
1,62,65
2,64,130
3,65,198
4,66,264
5,68,330
6,66,396
7,66,464
8,66,530
9,66,596
10,65,664
11,64,729
12,132,64
13,134,132
14,136,197
15,137,264
16,137,329
17,137,396
18,136,462
19,136,530
20,136,597
21,133,664
22,133,730
23,200,61
24,202,130
25,205,198
26,205,264
27,206,330
28,206,396
29,206,464
30,205,530
31,204,598
32,202,665
33,201,732
34,266,60
35,269,129
36,270,198
37,272,265
38,273,330
39,273,396
40,272,462
41,270,530
42,270,598
43,270,666
44,269,733
45,336,62
46,337,132
47,338,198
48,337,264
49,340,330
50,340,396
51,338,462
52,337,530
53,337,600
54,337,668
55,337,736
56,402,64
57,402,130
58,404,198
59,404,265
60,404,330
61,404,397
62,405,462
63,404,529
64,402,598
65,402,668
66,402,737
67,469,65
68,469,132
69,469,198
70,469,265
71,469,330
72,469,394
73,469,462
74,469,529
75,468,598
76,468,668
77,468,737
78,534,66
79,536,133
80,534,200
81,533,265
82,533,330
83,533,396
84,534,462
85,534,530
86,533,597
87,533,666
88,534,737
89,600,66
90,600,133
91,600,201
92,600,266
93,600,330
94,600,394
95,600,461
96,601,529
97,600,597
98,600,668
99,601,736
100,666,68
101,665,134
102,665,202
103,665,266
104,666,330
105,666,396
106,666,461
107,668,528
108,666,597
109,666,668
110,668,736
111,733,68
112,733,134
113,732,202
114,732,265
115,732,330
116,733,396
117,733,461
118,734,529
119,734,597
120,733,666
121,733,736
